Query_ID	Doc_ID	Rank	Score
1	792	1	24.5
1	798	2	24.0
1	1313	3	23.0
1	131	4	23.0
1	1147	5	22.5
1	1144	6	20.0
1	640	7	19.5
1	717	8	18.5
1	262	9	18.5
1	244	10	18.0
1	695	11	17.5
1	826	12	17.5
1	927	13	17.5
1	14	14	17.5
1	576	15	17.0
1	1201	16	17.0
1	1047	17	17.0
1	928	18	16.5
1	89	19	16.5
1	499	20	16.5
1	1268	21	16.5
1	82	22	16.0
1	193	23	16.0
1	51	24	16.0
1	83	25	16.0
1	721	26	16.0
1	673	27	15.5
1	433	28	15.5
1	658	29	15.5
1	588	30	15.5
1	373	31	15.5
1	874	32	15.5
1	1239	33	15.5
1	1277	34	15.0
1	73	35	15.0
1	730	36	15.0
1	1392	37	15.0
1	140	38	14.5
1	56	39	14.5
1	992	40	14.5
1	96	41	14.5
1	710	42	14.5
1	662	43	14.0
1	962	44	14.0
1	156	45	14.0
1	1040	46	14.0
1	1167	47	14.0
1	946	48	14.0
1	151	49	14.0
1	417	50	13.5
1	1244	51	13.5
1	947	52	13.5
1	277	53	13.5
1	704	54	13.5
1	300	55	13.5
1	204	56	13.5
1	991	57	13.5
1	1292	58	13.5
1	442	59	13.0
1	99	60	13.0
1	811	61	13.0
1	329	62	13.0
1	189	63	13.0
1	344	64	13.0
1	1226	65	13.0
1	1335	66	13.0
1	12	67	13.0
1	1218	68	13.0
1	414	69	12.5
1	124	70	12.5
1	675	71	12.5
1	210	72	12.5
1	712	73	12.5
1	1104	74	12.5
1	100	75	12.5
1	49	76	12.5
1	1352	77	12.5
1	9	78	12.5
1	197	79	12.5
1	808	80	12.5
1	1119	81	12.5
1	315	82	12.5
1	85	83	12.0
1	1342	84	12.0
1	92	85	12.0
1	225	86	12.0
1	170	87	12.0
1	934	88	12.0
1	33	89	12.0
1	1039	90	12.0
1	114	91	12.0
1	423	92	12.0
1	1322	93	12.0
1	917	94	12.0
1	889	95	12.0
1	828	96	11.5
1	1375	97	11.5
1	1246	98	11.5
1	1325	99	11.5
1	801	100	11.5
1	686	101	11.5
1	234	102	11.5
1	232	103	11.5
1	252	104	11.5
1	213	105	11.5
1	1338	106	11.5
1	1300	107	11.5
1	172	108	11.5
1	747	109	11.5
1	198	110	11.5
1	1072	111	11.5
1	987	112	11.5
1	211	113	11.5
1	806	114	11.5
1	29	115	11.5
1	625	116	11.0
1	434	117	11.0
1	529	118	11.0
1	187	119	11.0
1	1082	120	11.0
1	132	121	11.0
1	766	122	11.0
1	976	123	11.0
1	416	124	11.0
1	364	125	11.0
1	572	126	11.0
1	1108	127	11.0
1	57	128	11.0
1	815	129	11.0
1	1387	130	11.0
1	216	131	11.0
1	206	132	11.0
1	274	133	11.0
1	1383	134	11.0
1	94	135	11.0
1	1381	136	11.0
1	435	137	11.0
1	1321	138	11.0
1	1351	139	11.0
1	1307	140	11.0
1	202	141	11.0
1	1115	142	11.0
1	466	143	11.0
1	1061	144	11.0
1	1341	145	11.0
1	486	146	11.0
1	827	147	11.0
1	174	148	11.0
1	325	149	10.5
1	25	150	10.5
1	332	151	10.5
1	1337	152	10.5
1	184	153	10.5
1	163	154	10.5
1	822	155	10.5
1	80	156	10.5
1	272	157	10.5
1	773	158	10.5
1	342	159	10.5
1	1252	160	10.5
1	441	161	10.5
1	656	162	10.5
1	266	163	10.5
1	523	164	10.5
1	155	165	10.5
1	540	166	10.5
1	593	167	10.5
1	980	168	10.5
1	77	169	10.5
1	685	170	10.5
1	1035	171	10.5
1	786	172	10.5
1	857	173	10.0
1	1356	174	10.0
1	13	175	10.0
1	1347	176	10.0
1	599	177	10.0
1	1225	178	10.0
1	452	179	10.0
1	1154	180	10.0
1	1382	181	10.0
1	739	182	10.0
1	110	183	10.0
1	247	184	10.0
1	1333	185	10.0
1	767	186	10.0
1	1303	187	10.0
1	858	188	10.0
1	698	189	10.0
1	453	190	10.0
1	129	191	10.0
1	1165	192	10.0
1	212	193	10.0
1	253	194	10.0
1	32	195	10.0
1	638	196	10.0
1	797	197	10.0
1	42	198	10.0
1	427	199	10.0
1	199	200	9.5
2	1201	1	85.5
2	798	2	81.0
2	1313	3	70.0
2	329	4	61.5
2	792	5	54.5
2	927	6	54.5
2	417	7	50.5
2	89	8	50.5
2	673	9	49.5
2	499	10	49.5
2	452	11	47.5
2	1040	12	47.5
2	721	13	46.5
2	73	14	46.0
2	94	15	46.0
2	131	16	45.0
2	1147	17	45.0
2	1239	18	44.5
2	433	19	43.5
2	1144	20	43.5
2	160	21	42.0
2	1244	22	42.0
2	1047	23	41.5
2	244	24	41.0
2	364	25	40.5
2	928	26	40.5
2	992	27	40.5
2	522	28	40.0
2	757	29	40.0
2	140	30	39.5
2	826	31	39.5
2	1392	32	39.0
2	695	33	38.5
2	199	34	38.0
2	576	35	38.0
2	874	36	38.0
2	262	37	38.0
2	85	38	37.5
2	315	39	37.5
2	234	40	37.0
2	423	41	37.0
2	14	42	36.5
2	132	43	36.0
2	662	44	36.0
2	225	45	36.0
2	1382	46	36.0
2	49	47	36.0
2	33	48	36.0
2	1072	49	36.0
2	827	50	36.0
2	82	51	35.5
2	1226	52	35.5
2	206	53	35.5
2	99	54	35.0
2	1082	55	35.0
2	189	56	35.0
2	731	57	35.0
2	797	58	35.0
2	675	59	34.5
2	210	60	34.5
2	1164	61	34.5
2	272	62	34.5
2	277	63	34.5
2	373	64	34.5
2	1198	65	34.5
2	170	66	34.5
2	96	67	34.5
2	466	68	34.5
2	1061	69	34.5
2	976	70	34.0
2	962	71	34.0
2	193	72	34.0
2	83	73	34.0
2	151	74	34.0
2	1268	75	34.0
2	599	76	33.5
2	173	77	33.5
2	1248	78	33.5
2	572	79	33.0
2	712	80	33.0
2	1343	81	33.0
2	1209	82	33.0
2	344	83	33.0
2	625	84	32.5
2	1375	85	32.5
2	218	86	32.5
2	640	87	32.5
2	155	88	32.5
2	51	89	32.5
2	548	90	32.5
2	946	91	32.5
2	434	92	32.0
2	811	93	32.0
2	416	94	32.0
2	947	95	32.0
2	165	96	32.0
2	730	97	32.0
2	198	98	32.0
2	1277	99	31.5
2	1342	100	31.5
2	1066	101	31.5
2	163	102	31.0
2	658	103	31.0
2	588	104	31.0
2	62	105	31.0
2	157	106	31.0
2	717	107	30.5
